movieId,title,genres,description
1,Movie 1 (2001),Animation|Horror,A animation movie about complex  characters in a modern world.
2,Movie 2 (2002),Adventure|Animation,A adventure movie about complex  characters in a modern world.
3,Movie 3 (2003),Sci-Fi,A sci-fi movie about complex  characters in a futuristic world.
4,Movie 4 (2004),Drama|Horror|Adventure,A drama movie about complex  characters in a modern world.
5,Movie 5 (2005),Action,A action movie about heroic  characters in a modern world.
6,Movie 6 (2006),Action,A action movie about heroic  characters in a modern world.
7,Movie 7 (2007),Documentary,A documentary movie about complex  characters in a modern world.
8,Movie 8 (2008),Adventure,A adventure movie about complex  characters in a modern world.
9,Movie 9 (2009),Horror,A horror movie about complex  characters in a modern world.
10,Movie 10 (2010),Adventure|Animation,A adventure movie about complex  characters in a modern world.
11,Movie 11 (2011),Adventure|Thriller|Sci-Fi,A adventure movie about complex  characters in a futuristic world.
12,Movie 12 (2012),Documentary|Action,A documentary movie about heroic  characters in a modern world.
13,Movie 13 (2013),Drama,A drama movie about complex  characters in a modern world.
14,Movie 14 (2014),Sci-Fi|Action,A sci-fi movie about heroic  characters in a futuristic world.
15,Movie 15 (2015),Action|Sci-Fi|Drama,A action movie about heroic  characters in a futuristic world.
16,Movie 16 (2016),Fantasy|Horror|Comedy,A fantasy movie about complex  characters in a modern world.
17,Movie 17 (2017),Documentary|Adventure,A documentary movie about complex  characters in a modern world.
18,Movie 18 (2018),Comedy,A comedy movie about complex  characters in a modern world.
19,Movie 19 (2019),Horror,A horror movie about complex  characters in a modern world.
20,Movie 20 (2020),Comedy|Action,A comedy movie about heroic  characters in a modern world.
21,Movie 21 (2021),Comedy,A comedy movie about complex  characters in a modern world.
22,Movie 22 (2022),Fantasy|Thriller,A fantasy movie about complex  characters in a modern world.
23,Movie 23 (2000),Horror|Fantasy,A horror movie about complex  characters in a modern world.
24,Movie 24 (2001),Animation|Thriller,A animation movie about complex  characters in a modern world.
25,Movie 25 (2002),Adventure|Sci-Fi|Documentary,A adventure movie about complex  characters in a futuristic world.
26,Movie 26 (2003),Comedy|Horror|Animation,A comedy movie about complex  characters in a modern world.
27,Movie 27 (2004),Comedy|Sci-Fi|Fantasy,A comedy movie about complex  characters in a futuristic world.
28,Movie 28 (2005),Drama|Documentary,A drama movie about complex  characters in a modern world.
29,Movie 29 (2006),Sci-Fi,A sci-fi movie about complex  characters in a futuristic world.
30,Movie 30 (2007),Drama|Animation|Sci-Fi,A drama movie about complex  characters in a futuristic world.
31,Movie 31 (2008),Fantasy,A fantasy movie about complex  characters in a modern world.
32,Movie 32 (2009),Comedy,A comedy movie about complex  characters in a modern world.
33,Movie 33 (2010),Crime|Drama|Action,A crime movie about heroic  characters in a modern world.
34,Movie 34 (2011),Adventure|Crime|Comedy,A adventure movie about complex  characters in a modern world.
35,Movie 35 (2012),Comedy,A comedy movie about complex  characters in a modern world.
36,Movie 36 (2013),Sci-Fi,A sci-fi movie about complex  characters in a futuristic world.
37,Movie 37 (2014),Documentary|Comedy,A documentary movie about complex  characters in a modern world.
38,Movie 38 (2015),Adventure|Drama|Crime,A adventure movie about complex  characters in a modern world.
39,Movie 39 (2016),Thriller|Action,A thriller movie about heroic  characters in a modern world.
40,Movie 40 (2017),Comedy,A comedy movie about complex  characters in a modern world.
41,Movie 41 (2018),Fantasy|Crime|Action,A fantasy movie about heroic  characters in a modern world.
42,Movie 42 (2019),Documentary|Drama|Animation,A documentary movie about complex  characters in a modern world.
43,Movie 43 (2020),Comedy|Horror,A comedy movie about complex  characters in a modern world.
44,Movie 44 (2021),Sci-Fi|Crime,A sci-fi movie about complex  characters in a futuristic world.
45,Movie 45 (2022),Fantasy|Drama|Crime,A fantasy movie about complex  characters in a modern world.
46,Movie 46 (2000),Animation,A animation movie about complex  characters in a modern world.
47,Movie 47 (2001),Animation|Fantasy|Thriller,A animation movie about complex  characters in a modern world.
48,Movie 48 (2002),Crime|Horror|Fantasy,A crime movie about complex  characters in a modern world.
49,Movie 49 (2003),Horror|Comedy|Fantasy,A horror movie about complex  characters in a modern world.
50,Movie 50 (2004),Drama|Animation|Horror,A drama movie about complex  characters in a modern world.
51,Movie 51 (2005),Fantasy|Sci-Fi,A fantasy movie about complex  characters in a futuristic world.
52,Movie 52 (2006),Crime|Horror,A crime movie about complex  characters in a modern world.
53,Movie 53 (2007),Fantasy,A fantasy movie about complex  characters in a modern world.
54,Movie 54 (2008),Thriller,A thriller movie about complex  characters in a modern world.
55,Movie 55 (2009),Comedy,A comedy movie about complex  characters in a modern world.
56,Movie 56 (2010),Adventure,A adventure movie about complex  characters in a modern world.
57,Movie 57 (2011),Comedy|Documentary|Horror,A comedy movie about complex  characters in a modern world.
